key_title,key_rdate,key_cont
 '우크라이나 재건' 참여 추진에 철도주 급등(종합),2022.07.08 15:42,정부가 러시아 침공으로 주요 도시가 파괴된 우크라이나의 전후 재건사업에 참여하겠다고 밝힌 가운데 8일 철도 관련주가 급등했다. 이날 유가증권시장에서 철도...
"제로투세븐, 매각설에 장중 9%대 급등",2022.07.08 09:39,제로투세븐이 매각 절차를 밟는다는 소식에 8일 장중 급등하고 있다. 이날 오전 9시36분 현재 제로투세븐은 전일 대비 630원(9.5%) 오른 7260원...
"""에코프로비엠, 연중 강한 이익모멘텀 지속…목표가는 22%↓""-한국",2022.07.08 08:29,한국투자증권은 8일 에코프로비엠에 대해 유무상증자를 반영하고 목표 주가수익비율(PER)을 기존 72배에서 50배로 낮춘다며 목표주가를 종전 18만370원...
"""매일이 신저가""…'엔터 종합백화점' CJ ENM에 무슨 일이?",2022.07.07 16:03,‘엔터 종합백화점’으로 불리는 CJ ENM 주가가 코로나19 저점 수준까지 떨어졌다. 다른 엔터주들이 하락장을 역주행하는 것과 대비...
"게임학회장 ""P2E, 베트남도 합법 아냐...기술력부터 갖춰라""",2022.07.07 11:58,한국게임학회장인 위정현 중앙대 경영학부 교수가 국내 게임 업계의 P2E(Play to Earn·돈 버는 게임) 게임 영업 허용 요구에 대한 회의적인 시각...
"""알라메다 리서치, 보이저 디지털에 3.7억달러 대출 드러나""",2022.07.07 09:25,샘 뱅크먼 프라이드가 설립한 가상자산(암호화폐) 전문 투자사 알라메다 리서치가 보이저 디지털로부터 3억7700만 달러를 대출한 것으로 나타났다. 7일 디...
"FTX, 개인투자자 BTC 레버리지 파생상품 투자 승인 요구",2022.07.06 20:06,글로벌 가상자산(암호화폐) 거래소 FTX가 개인투자자의 비트코인(BTC) 레버리지 파생상품 투자를 승인할 것을 미국 규제당국에 요구했다. 6일(현지시간)...
"웨이버스, 제3국 신도시 통합관제솔루션 수출",2022.07.06 13:44,공간정보산업 플랫폼 선도기업 웨이버스는 제3국 ‘스마트시티(Smart City)’ 구축 사업에 자사 통합관제솔루션을 공급한다고 6일...
치솟는 환율에 외국인 '팔자'…코스피·코스닥 하락,2022.07.06 09:25,"국내 증시는 외국인과 기관이 하루만에 매도세로 돌아서며 하락하고 있다. 간밤 미국 증시는 장단기 금리 역전 현상이 발행하며 장중 2% 가량 급락했지만, ..."
"넥소, 라이벌 대출 플랫폼 볼드 인수 진행 중…""60일간 실사 진행""",2022.07.05 19:42,가상자산(암호화폐) 대출 플랫폼 넥소(Nexo)가 최근 고객 자금 인출을 중단한 라이벌 플랫폼 볼드(Vauld)의 인수를 진행하고 있는 것으로 나타났다....
(마감)코스피 외국인 1350억 순매수,2022.07.05 15:36,한경닷컴
우크라 재건회의 개최 소식에…테마주 강세,2022.07.05 09:41,국제사회의 우크라이나 재건회의가 간밤 개최됐다는 소식에 관련 테마주들이 강세를 보이고 있다. 5일 오전 9시27분 현재 현대에버다임은 전일 대비 1320원(15.53%) 오른 98...
'컬리' IPO 속도 낼 듯…보유지분 의무보유확약서 제출,2022.07.05 08:06,기업공개(IPO)를 추진 중인 컬리가 최근 상장 심사의 걸림돌이었던 재무적 투자자(FI)들의 보유지분 의무보유 확약서를 한국거래소에 제출한 것으로 알려졌...
(마감)코스피 외국인 1385억 순매도,2022.07.04 15:36,한경닷컴
"드래곤플라이 ""자회사 디에프체인, 윤상규 신임 사장 선임""",2022.07.04 10:00,드래곤플라이는 자회사 디에프체인의 신임 사장으로 윤상규 NS스튜디오 대표를 선임했다고 4일 밝혔다. 윤상규 신임 사장은 26년간 게임과 블록체인 업계와 ...
" 원/달러 환율 2.2원 오른 1,299.5원(개장)",2022.07.04 09:00,/연합뉴스
