key_title,key_rdate,key_cont
삼성생명 2분기 영업이익 335억원…작년 동기 대비 93.9%↓,2021.08.13 08:49,코스피 상장사 삼성생명은 연결 기준 올해 2분기 영업이익이 335억원으로 지난해 동기보다 93.9% 감소한 것으로 잠정 집계됐다고 13일 공시했다. 매출은 8조1천950억원으로 작...
최근 가장 많이 오른 암호화폐는 'NFT 코인',2021.08.12 17:45,암호화폐 시장에서 최근 가장 크게 반등한 종목은 대체불가능토큰(NFT) 관련 ‘코인’으로 나타났다. 게임이나 메타버스에서 NFT로 ...
이노션 2분기 영업이익 325억원…작년 동기 대비 103.6%↑,2021.08.12 15:34,이노션은 연결 기준 올해 2분기 영업이익이 325억원으로 지난해 동기보다 103.6% 증가한 것으로 잠정 집계됐다고 12일 공시했다. 매출은 3천494억원으로 작년 동기 대비 47...
"신세계, 2Q 영업익 962억…흑자전환 [주목 e공시]",2021.08.12 10:39,신세계는 올해 2분기 연결 기준 영업이익이 962억원으로 전년 동기 대비 흑자 전환했다고 12일 공시했다. 같은 기간 매출은 1조3953억원으로 37.6...
컴투스 2분기 영업이익 110억원…작년 동기 대비 71.2%↓,2021.08.12 08:24,시장 전망치 58% 하회 코스닥 상장사 컴투스는 연결 기준 올해 2분기 영업이익이 110억원으로 지난해 동기보다 71.2% 감소한 것으로 잠정 집계됐다고 12일 공시했다. 이번 영...
"'크래프톤 이긴' 원티드랩, 코스닥 상장 첫날 '따상'…시총 2600억 늘어",2021.08.11 16:06,인공지능(AI) 기반 채용 플랫폼사 원티드랩이 코스닥시장 상장 첫날 '따상'(공모가 두 배 상장 후 상한가 진입)을 기록하며 화려하게 증시...
"파라다이스, 2분기 영업손실 274억원…전년比 38.4% 축소 [주목 e공시]",2021.08.11 13:48,파라다이스는 2분기 연결 기준 영업손실 잠정치가 274억2300만원으로 전년 동기 대비 38.4% 축소됐다고 11일 공시했다. 매출액은 1년 전보다 13...
"방산株, 북한의 한미연합훈련 비난 수위 고조에 강세",2021.08.11 09:40,한미연합훈련 사전연습 개시에 대해 북한이 연일 비난을 쏟아내며 긴장감을 고조시키는 영향으로 방산 관련 기업의 주가가 강세를 보이고 있다. 11일 오전 9...
삼성그룹株 일제히 '내리막',2021.08.10 17:53,이재용 삼성전자 부회장의 가석방 소식에도 삼성물산·생명·전자 등 삼성그룹주가 일제히 약세를 보였다. 대규모 인수합병(M&A) 소...
"SK텔레콤, 인적분할 전 담아라…""종합플랫폼 기업가치 충분""",2021.08.10 13:58,SK텔레콤(SKT)이 존속법인 SKT와 신설법인 SKT인베스트먼트(가칭)로 인적분할을 예고한 가운데 지금 주식을 매수해야 한다는 조언이 나온다. 온라인쇼...
"차백신연구소, 증권신고서 제출…내달 코스닥 상장",2021.08.10 09:32,"차바이오텍 계열사 차백신연구소는 금융위원회에 증권신고서를 제출하고 본격적인 코스닥시장 상장 절차에 들어갔다고 10일 밝혔다. 총 공모주식수는 395만주,..."
"롯데렌탈, 공모주 청약 첫날 통합 경쟁률 10.43대 1",2021.08.09 16:54,롯데렌탈이 청약 첫 날 청약 경쟁률이 통합 10.43대 1을 기록했다. 청약 증거금은 총 1조3313억원이 모였다. 9일 대표 주관사 NH투자증권에 따르...
"카뱅, 셀트리온도 제쳤다…상장 이틀 만에 시총 9위 등극 [종합]",2021.08.09 14:08,카카오뱅크가 상장 이틀만에 (보통주 기준) 코스피 시가총액 9위로 올라섰다. 9일 오후 1시55분 기준 카카오뱅크는 전 거래일 대비 1만7600원(25....
" 원/달러 환율 4.4원 오른 1,146.5원(개장)",2021.08.09 09:00,/연합뉴스
CJ CGV 2분기 영업손실 573억원…적자 축소(종합),2021.08.06 18:00,'분노의 질주'·'크루엘라' 등 개봉으로 매출 상승 견인 코스피 상장사 CJ CGV는 연결 기준 올해 2분기 영업손실이 573억원으로 지난해 동기(1천3...
