key_title,key_rdate,key_cont
"지구의 날, 국내 최초 자발적 탄소 거래 플랫폼 '팝플' 오픈",2022.04.22 19:22,22일 '제 52회 지구의 날'을 맞아 국내 최초 자발적 탄소 거래 플랫폼 ‘팝플(POPLE)’이 출시됐다. 국내 최...
"코인베이스, 최대 4% 가상자산 적립 혜택 카드 출시",2022.04.22 15:46,글로벌 가상자산(암호화폐) 거래소 코인베이스가 최대 4%의 가상자산 적립 혜택을 제공하는 카드를 출시했다. 22일(현지시간) 코인베이스는 공식 트위터를 ...
신한지주 1분기 영업이익 1조9천60억…작년 동기 대비 13.3%↑,2022.04.22 13:21,시장 전망치 11.5% 상회 코스피 상장사 신한지주는 연결 기준 올해 1분기 영업이익이 1조9천60억원으로 지난해 동기보다 13.29% 증가한 것으로 잠정 집계됐다고 22일 공시했...
"코스피, 美국채금리 급등에 하락 출발…장중 2700선 붕괴",2022.04.22 09:10,코스피가 미 국채금리가 급등한 영향으로 하락출발하며 장 초반 2700선이 무너졌다. 제롬 파월 미국 중앙은행(연방준비제도·Fed) 의장이 5...
"키움증권, '키움히어로즈 파트너데이' 실시…테슬라 주식 쏜다",2022.04.21 16:13,키움증권은 이달 23일 오후 2시 고척스카이돔 키움히어로즈와 KIA 타이거즈 경기에서 '키움증권 파트너데이' 행사를 진행한다고 21일 밝혔...
"코원플레이, 파산신청 기각[주목 e공시]",2022.04.21 10:30,"코원플레이는 파산신청이 기각됐다고 21일 공시했다. 사측은 ""신청인 장*호 외 1인(채권자)이 당사에 대한 파산신청을 접수했으나 신청인이 소를 취하했다""고 설명했다. 차은지 한경닷..."
"“콜마비앤에이치, 1분기 실적 감소 예상…2분기 회복 기대”",2022.04.21 08:33,하나금융투자는 21일 콜마비앤에이치에 대해 지난해 코로나19 영향으로 영업 활동의 제약을 받으면서 올 1분기까지 낮은 실적을 낼 것으로 예상했다. 2분기...
코스피 美 긴축 우려에도 반등…개인 홀로 '사자',2022.04.20 14:09,코스피지수가 20일 오후 들어 반등에 성공했다. 개인투자자를 중심으로 매수세가 확대되면서다. 기관투자자의 매도 물량이 줄어든 것도 지수에 긍정적인 영향을...
MZ·여성 '골린이' 대거 유입에…골프웨어株 '나이스샷',2022.04.20 09:03,신종 코로나바이러스 감염증(코로나19) 여파로 레저·스포츠업계가 큰 타격을 입은 가운데 골프는 오히려 '코로나19 특수'를 누...
(마감)코스피 기관 3604억 매수 우위,2022.04.19 15:39,한경닷컴
'또 상한가' 사료 관련주 줄줄이 초강세,2022.04.19 09:19,"곡물 가격이 급격히 오르는 가운데 오늘(19일)도 사료 관련주가 장 초반 초강세를 보이고 있다. 9시 16분 현재 대한제당과 대한제당우, 한일사료는 장 ..."
"쓸어담은 개미 울고, 내던진 외국인 웃었다",2022.04.18 17:19,개인투자자는 지난 한 달간 국내 증시에서 약 8조원 규모를 순매수했다. 같은 기간 가장 많이 순매수한 종목 10개의 평균 수익률은 약 -5%인 것으로 나타났다. 반면 실적주나 원자...
"코스피, 개인 매수에 강보합 전환…장중 2700선 터치하기도",2022.04.18 14:06,코스피가 개인 투자자의 매수세에 힘입어 강보합세로 전환했다. 장중 2700선을 돌파하기도 했다. 18일 오후 1시53분 현재 코스피는 전일 대비 1.40...
"""국산 코로나 백신 나오나?""..SK바사 '강세'",2022.04.18 09:17,"첫 국산 코로나 백신이 등장할 수 있다는 기대감에 SK바이오사이언스가 강세다. 18일 오전 9시 5분 현재 SK바이오사이언스는 전 거래일보다 5,000원..."
"긴축 공포에 2700선 내준 코스피…""기업 실적 주목해야"" [주간전망]",2022.04.17 08:00,미국 중앙은행(연방준비제도·Fed)의 긴축 드라이브와 코로나19 확산으로 인한 중국의 봉쇄에 대한 우려로 코스피가 2700선을 지키지 못하고...
"미국 긴축 경계감에 원/달러 환율 상승…1,230원 턱밑 마감",2022.04.15 16:02,"15일 원/달러 환율이 상승했다. 이날 서울 외환시장에서 달러 대비 원화 환율은 전날 종가보다 4.9원 오른 달러당 1,229.6원에 거래를 마쳤다. 이..."
"마이클 세일러 ""비트코인으로 주주 가치 높였어…엄청난 성공 거둬""",2022.04.15 11:02,"마이클 세일러 마이크로스트레티지(MSTR) 최고경영자(CEO)가 ""수십억달러에 달하는 비트코인이 주주 가치를 높이는데 엄청난 효과를 보여줬다""라고 강조했..."
"""애플폰 효과 하루로""..힘 못받는 자화전자",2022.04.15 09:18,전날 애플폰 전용공장 설립소식으로 상한가를 기록했던 자화전자가 힘을 쓰지 못하고 있다. 15일 오전 9시12분 현재 자화전자는 전 거래일보다 50원 0.16%오른 3만550원에 거...
美 국채 금리 2.8% 돌파에 '하락'…나스닥 2.14% '급락'[뉴욕증시 브리핑],2022.04.15 07:10,뉴욕증시가 하락 마감했다. 중앙은행(Fed)의 공격적 긴축에 대한 우려로 국채금리가 급등한 여파다. 14일(현지시간) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다...
美 국채 금리 2.8% 돌파에 '하락'…나스닥 2.14% '급락'[뉴욕증시 브리핑],2022.04.15 07:10,뉴욕증시가 하락 마감했다. 중앙은행(Fed)의 공격적 긴축에 대한 우려로 국채금리가 급등한 여파다. 14일(현지시간) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다...
포스코홀딩스 1분기 영업이익 2조3천억원…작년 대비 43.9%↑,2022.04.14 17:47,시장 전망치 36.5% 상회 코스피 상장사 포스코홀딩스는 연결 기준 올해 1분기 영업이익이 2조3천억원으로 지난해 동기보다 43.9% 증가한 것으로 잠정 집계됐다고 14일 공시했다...
"현대약품, 한양대 맞춤의약연구원과 업무협약 체결",2022.04.14 14:54,현대약품은 생명과학 연구와 바이오헬스 산업의 발전을 위해 개원한 한양대 맞춤의약연구원(HY-IPT)과 업무협약을 체결했다고 14일 밝혔다. HY-IPT는...
"LS전선아시아, 1분기 영업익 68억…전년比 12.8%↑[주목 e공시]",2022.04.14 10:40,LS전선아시아는 1분기 연결기준 영업이익이 68억3300만원으로 전년 동기보다 12.8% 증가한 것으로 잠정 집계됐다고 14일 공시했다. 같은 기간 매출...
