일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2020-02-10,2201.07,-10.88,-0.49,2185.63,2203.39,2180.51,609566.0,5471061.0,1483846707.0
2020-02-11,2223.12,22.05,1.0,2213.5,2233.32,2211.25,526211.0,6611195.0,1498338522.0
2020-02-12,2238.38,15.26,0.69,2225.95,2242.24,2214.77,632463.0,6892198.0,1508346242.0
2020-02-13,2232.96,-5.42,-0.24,2245.72,2255.49,2230.3,638666.0,8121197.0,1505295817.0
2020-02-14,2243.59,10.63,0.48,2232.71,2251.5,2221.9,597224.0,6379565.0,1511254623.0
2020-02-17,2242.17,-1.42,-0.06,2243.07,2250.05,2230.26,458248.0,5639201.0,1510109679.0
2020-02-18,2208.88,-33.29,-1.48,2225.98,2232.93,2205.21,470425.0,6411451.0,1487436221.0
2020-02-19,2210.34,1.46,0.07,2222.51,2226.0,2191.2,591155.0,7107034.0,1488454959.0
2020-02-20,2195.5,-14.84,-0.67,2223.55,2228.18,2186.72,709564.0,7677672.0,1478574048.0
2020-02-21,2162.84,-32.66,-1.49,2165.65,2184.43,2160.28,635474.0,7105856.0,1456692607.0
2020-02-24,2079.04,-83.8,-3.87,2114.04,2120.06,2079.03,948621.0,9315475.0,1400516368.0
2020-02-25,2103.61,24.57,1.18,2075.55,2105.49,2071.5,1565588.0,8952278.0,1417275415.0
2020-02-26,2076.77,-26.84,-1.28,2064.07,2089.64,2059.13,810938.0,8060327.0,1398569206.0
2020-02-27,2054.89,-21.88,-1.05,2073.87,2085.4,2049.15,562775.0,7241174.0,1383776361.0
2020-02-28,1987.01,-67.88,-3.3,2020.17,2031.01,1980.82,671552.0,9927960.0,1337716963.0
2020-03-02,2002.51,15.5,0.78,1997.03,2017.07,1969.34,528103.0,7811003.0,1348109552.0
2020-03-03,2014.15,11.64,0.58,2051.85,2051.85,2009.39,615693.0,8687847.0,1356176460.0
2020-03-04,2059.33,45.18,2.24,2005.81,2063.59,2005.81,606287.0,7829193.0,1386938608.0
2020-03-05,2085.26,25.93,1.26,2078.11,2089.08,2059.99,675205.0,7954349.0,1404684362.0
2020-03-06,2040.22,-45.04,-2.16,2053.09,2062.57,2032.13,865588.0,7233538.0,1373917955.0
2020-03-09,1954.77,-85.45,-4.19,1981.02,1989.5,1946.9,666868.0,8796944.0,1316427699.0
2020-03-10,1962.93,8.16,0.42,1942.85,1968.17,1934.72,638564.0,9133693.0,1321480461.0
2020-03-11,1908.27,-54.66,-2.78,1965.67,1967.7,1898.27,679716.0,8598097.0,1284895601.0
