,장중_긍정비율,장중_부정비율,장중_긍부정비율,장외_긍정비율,장외_부정비율,장외_긍부정비율,등락률,등락여부
2023-01-02,0.6666666666666666,0.3333333333333333,0.0,0.6,0.4,-0.2,-0.48,0.0
2023-01-03,0.84375,0.15625,0.53125,0.6060606060606061,0.3939393939393939,-0.18181818181818182,-0.31,0.0
2023-01-04,0.7948717948717948,0.20512820512820512,0.38461538461538464,0.6578947368421053,0.34210526315789475,-0.02631578947368421,1.68,1.0
2023-01-05,0.8541666666666666,0.14583333333333334,0.5625,0.8478260869565217,0.15217391304347827,0.5434782608695652,0.38,1.0
2023-01-06,0.9,0.1,0.7,0.6060606060606061,0.3939393939393939,-0.18181818181818182,1.12,1.0
2023-01-09,0.45454545454545453,0.5454545454545454,-0.6363636363636364,0.7096774193548387,0.2903225806451613,0.12903225806451613,2.63,1.0
2023-01-10,0.9622641509433962,0.03773584905660377,0.8867924528301887,0.7045454545454546,0.29545454545454547,0.11363636363636363,0.05,1.0
2023-01-11,0.7560975609756098,0.24390243902439024,0.2682926829268293,0.8846153846153846,0.11538461538461539,0.6538461538461539,0.35,1.0
2023-01-12,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.8292682926829268,0.17073170731707318,0.4878048780487805,0.24,1.0
2023-01-13,0.9285714285714286,0.07142857142857142,0.7857142857142857,0.9148936170212766,0.0851063829787234,0.7446808510638298,0.89,1.0
2023-01-16,0.6363636363636364,0.36363636363636365,-0.09090909090909091,0.8787878787878788,0.12121212121212122,0.6363636363636364,0.58,1.0
2023-01-17,0.8780487804878049,0.12195121951219512,0.6341463414634146,0.7608695652173914,0.2391304347826087,0.2826086956521739,-0.85,0.0
2023-01-18,0.6097560975609756,0.3902439024390244,-0.17073170731707318,0.7083333333333334,0.2916666666666667,0.125,-0.47,0.0
2023-01-19,0.75,0.25,0.25,0.6136363636363636,0.38636363636363635,-0.1590909090909091,0.51,1.0
2023-01-20,0.8269230769230769,0.17307692307692307,0.4807692307692308,0.8,0.2,0.4,0.63,1.0
2023-01-25,1.0,0.0,1.0,0.7428571428571429,0.2571428571428571,0.22857142857142856,1.39,1.0
2023-01-26,0.9069767441860465,0.09302325581395349,0.7209302325581395,0.847457627118644,0.15254237288135594,0.5423728813559322,1.65,1.0
2023-01-27,0.96,0.04,0.88,0.8333333333333334,0.16666666666666666,0.5,0.62,1.0
2023-01-30,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.6875,0.3125,0.0625,-1.35,0.0
2023-01-31,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.44680851063829785,0.5531914893617021,-0.6595744680851063,-1.04,0.0
2023-02-01,0.5,0.5,-0.5,0.5666666666666667,0.43333333333333335,-0.3,1.02,1.0
2023-02-02,0.918918918918919,0.08108108108108109,0.7567567567567568,0.9183673469387755,0.08163265306122448,0.7551020408163265,0.78,1.0
2023-02-03,0.9393939393939394,0.06060606060606061,0.8181818181818182,0.7441860465116279,0.2558139534883721,0.23255813953488372,0.47,1.0
2023-02-06,0.7272727272727273,0.2727272727272727,0.18181818181818182,0.65625,0.34375,-0.03125,-1.7,0.0
2023-02-07,0.625,0.375,-0.125,0.7692307692307693,0.23076923076923078,0.3076923076923077,0.55,1.0
2023-02-08,0.9,0.1,0.7,0.8604651162790697,0.13953488372093023,0.5813953488372093,1.3,1.0
2023-02-09,0.9473684210526315,0.05263157894736842,0.8421052631578947,0.8656716417910447,0.13432835820895522,0.5970149253731343,-0.09,0.0
2023-02-10,0.7,0.3,0.1,0.5238095238095238,0.47619047619047616,-0.42857142857142855,-0.48,0.0
2023-02-13,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.7142857142857143,0.2857142857142857,0.14285714285714285,-0.69,0.0
2023-02-14,0.84375,0.15625,0.53125,0.7560975609756098,0.24390243902439024,0.2682926829268293,0.53,1.0
2023-02-15,0.8679245283018868,0.1320754716981132,0.6037735849056604,0.8297872340425532,0.1702127659574468,0.48936170212765956,-1.53,0.0
2023-02-16,0.7555555555555555,0.24444444444444444,0.26666666666666666,0.6964285714285714,0.30357142857142855,0.08928571428571429,1.96,1.0
2023-02-17,0.9705882352941176,0.029411764705882353,0.9117647058823529,0.8367346938775511,0.16326530612244897,0.5102040816326531,-0.98,0.0
2023-02-20,0.7,0.3,0.1,0.75,0.25,0.25,0.16,1.0
2023-02-21,0.8372093023255814,0.16279069767441862,0.5116279069767442,0.8333333333333334,0.16666666666666666,0.5,0.16,1.0
2023-02-22,0.9387755102040817,0.061224489795918366,0.8163265306122449,0.6170212765957447,0.3829787234042553,-0.14893617021276595,-1.68,0.0
2023-02-23,0.7105263157894737,0.2894736842105263,0.13157894736842105,0.675,0.325,0.025,0.89,1.0
2023-02-24,0.9107142857142857,0.08928571428571429,0.7321428571428571,0.6938775510204082,0.30612244897959184,0.08163265306122448,-0.63,0.0
2023-02-27,0.5555555555555556,0.4444444444444444,-0.3333333333333333,0.8169014084507042,0.18309859154929578,0.4507042253521127,-0.87,0.0
2023-02-28,0.6052631578947368,0.39473684210526316,-0.18421052631578946,0.6607142857142857,0.3392857142857143,-0.017857142857142856,0.42,1.0
2023-03-02,1.0,0.0,1.0,0.8518518518518519,0.14814814814814814,0.5555555555555556,0.62,1.0
2023-03-03,0.8,0.2,0.4,0.8333333333333334,0.16666666666666666,0.5,0.17,1.0
2023-03-06,0.25,0.75,-1.0,0.8695652173913043,0.13043478260869565,0.6086956521739131,1.26,1.0
2023-03-07,0.8947368421052632,0.10526315789473684,0.6842105263157895,0.875,0.125,0.625,0.03,1.0
