key_title,key_rdate,key_cont
유가 급락에 되살아난 투심…코스피 2.06%·코스닥 2.31% '급등',2022.03.10 09:32,코스피지수가 10일 개인과 기관의 순매수에 힘입어 2% 넘게 오르고 있다. 러시아와 우크라이나 간의 전쟁 공포에도 간밤 미국증시에서 훈풍이 분 것이 지수...
비트코인 8% 급등…美 재무부 규제 완화 가능성,2022.03.09 18:37,러시아와 우크라이나 간 전쟁이 장기화할 조짐을 보이는 등 대내외적으로 지정학적 위험이 커지고 있지만 비트코인 가격은 도리어 힘을 받는 모습이다. 9일 오...
(마감)코스피 기관 2924억 매도 우위,2022.03.08 15:36,한경닷컴
" 삼부토건, 최대주주 지분 매각 추진 소식에 '약세'",2022.03.08 09:20,"삼부토건이 최대주주의 지분매각 추진 소식에 약세다. 8일 오전9시14분 현재 삼부토건은 전일 대비 195원(7.82%) 내린 2,300원에 거래 중이다. 삼부토건은 전일 &lsqu..."
"원·달러환율 '속등'…1,230원 '목전'",2022.03.07 16:14,"7일 원·달러 환율이 1,227.1원에 거래를 마치며 1,230원 진입을 눈앞에 두고 있다. 이날 원·달러 환율은 전 거래일 대비 12.90원(1.06%..."
"아이큐어, 이영석·이재범 대표이사 체제로 변경[주목 e공시]",2022.03.07 11:11,"아이큐어는 이영석, 이재범 공동 대표이사 체제로 변경한다고 7일 공시했다. 기존에는 최영권 대표이사 체제로 운영됐다. 회사 측은 ""오는 3월 31일 개최..."
"코스피, 외국인·기관 팔자에 2700선 아래로…코스닥도 하락",2022.03.07 09:19,코스피가 1% 넘게 하락하며 2700선 아래로 주저 앉았다. 7일 오전 9시12분 기준 코스피지수는 전 거래일보다 40.89포인트(1.51%) 하락한 2...
"""對러 제재로 물류대란 악화""…HMM, 14%↑",2022.03.04 17:32,국제사회의 대(對)러시아 제재가 강화되면서 해운주가 일제히 강세를 보였다. 글로벌 물류대란이 악화되면 해상운임이 치솟을 수 있다는 전망이 나온 영향이다. 4일 HMM은 14.19%...
"테고사이언스, 회전근개 파열 세포치료제 국내 1·2상 종료",2022.03.04 11:04,테고사이언스는 회전근개 부분층 파열 환자를 대상으로 한 'TPX-115'의 1·2상 임상시험 종료(최종시험대상자관찰종료)를 식...
"""BGF, 편의점 경쟁력 확대에 추가적 사업부 진출도 긍정적""-한화",2022.03.04 08:34,한화투자증권은 BGF에 대해 편의점 사업부문의 경쟁력이 확대되고 있고 여기에 추가적인 사업부 진출을 진행하고 있어 긍정적이라며 투자의견 '매수&#...
(마감)코스피 기관 2611억 매수 우위,2022.03.03 15:36,한경닷컴
"코스피, 美 파월 한마디에 '안도 랠리'…시총 상위株 대부분 올라",2022.03.03 09:28,코스피지수가 1% 가까이 오르고 있다. 우크라이나 사태를 둘러싼 공포는 여전하지만 제롬 파월 미국 중앙은행(Fed) 의장이 '비둘기파' 발...
"금융위, '옵티머스 사태' NH투자증권·하나은행에 업무 일부 정지",2022.03.02 22:09,대규모 환매 중단 사태가 발생한 옵티머스펀드의 판매사인 NH투자증권과 펀드 수탁사인 하나은행이 일부 업무 정지 등 기관 제재가 확정됐다. 금융위원회는 2...
"애니플러스, 작년 매출액 전년比 3배 증가…""차별화된 밸류체인""",2022.03.02 14:42,"콘텐츠·미디어 기업 애니플러스가 지난해 호실적을 거뒀다. 지난해 매출액이 전년 대비 3배 증가했으며, 영업이익도 흑자 전환하는 등 실적 개선..."
"코스피, 보합권 등락…우크라·러시아 교전 지속",2022.03.02 09:16,국내증시는 러시아에 대한 미국 등 서방의 제재와 우크라이나와 러시아의 교전이 지속되고 있다는 소식에도 불구하고 강세를 이어가고 있다. 2일 오전 9시 코...
