key_title,key_rdate,key_cont
" 원/달러 환율 7.9원 내린 1,224.5원(개장)",2020.05.19 09:00,/연합뉴스
"올해 충남 지역화폐 3천328억원 발행…""파급효과 1조4천억원""",2020.05.18 15:10,"""일자리 2천636개 창출…코로나19로 위축된 지역경제 활성화"" 올해 충남에서 발행되는 지역화폐 규모가 3천300억원을 웃돌고, 그 파급효과는 1조4천억..."
 5월 18일(월) ~ 5월 22일(금),2020.05.18 00:43,[5월 18일(월)] ◇ 변경상장 = 하림지주(주식소각) [5월 19일(화)] ◇ 변경상장 = 솔고바이오(무상감자) [5월 20일(수)] - [5월 21일(목)] ◇ 상장폐지 = ...
코로나 직격탄에 에어부산 1분기 385억원 영업손실,2020.05.15 17:37,에어부산은 올해 1분기 별도기준 매출 931억원에 영업손실 385억원을 기록했다고 15일 공시했다. 지난해 같은 기간과 비교해 매출은 46.5% 감소했고...
"대원미디어, 1분기 매출 548억원…""닌텐도 '동물의 숲' 기대""",2020.05.15 14:36,"대원미디어는 올해 1분기 1분기 매출이 548억7000만원으로 지난해 같은 기간보다 11.8% 증가했다고 15일 공시햇다. 영업이익은 9억원, 순이익은 2억9000만원이다. 신종 ..."
"'고기대란' 우려 확산…육류株, 가파른 상승",2020.05.14 17:30,신종 코로나바이러스 감염증(코로나19) 사태로 전 세계에 ‘고기대란’ 우려가 확산하면서 육류주(株)가 주목받고 있다. 축산업체 우리손에프앤지 주가는 코로나19...
"코스피, 1% 하락 출발…장중 1910대로 후퇴",2020.05.14 09:04,"코스피가 14일 하락세로 출발했다. 이날 오전 9시 2분 현재 코스피는 전날보다 19.53포인트(1.01%) 내린 1,920.89를 나타냈다. 지수는 전..."
"기업, 3월 현금성 예금 30조원 늘려…집계이래 월별 최대 증가",2020.05.13 12:00,기업들 코로나19에 현금 확보…3월 통화량 전년대비 8.4%↑ 신종 코로나바이러스 감염증(코로나19) 사태에 따른 정부와 기업의 대...
"다날핀테크, 웁살라시큐리티 '가상자산 특화 AML' 도입",2020.05.12 17:41,블록체인 전문 보안기업 웁살라시큐리티가 국내 통합결제 비즈니스 전문기업 다날의 가상자산(암호화폐) 결제 플랫폼 다날핀테크와 가상자산 자금세탁방지(AML)...
" 엔씨소프트, 1분기 역대 최대 매출에 강세",2020.05.12 10:14,엔씨소프트가 12일 1분기 역대 최대 매출을 기록했다고 발표하면서 장 초반 강세를 보이고 있다. 이날 오전 10시 10분 현재 엔씨소프트는 전 거래일보다...
"업비트, UBCI 출시 2주년 맞아 지수 분석 결과 공개",2020.05.11 16:12,블록체인 및 핀테크 전문기업 두나무는 자사 디지털 자산 지수인 UBCI(Upbit Cryptocurrency Index) 출시 2주년을 맞아 주요 지수 ...
"""케이씨, 반도체 투자 확대시 수혜 예상""",2020.05.11 08:24,리서치알음은 11일 케이씨에 대해 올해 반도체 시장이 투자확대 국면에 진입하면서 수혜를 볼 것이라고 전망했다. 케이씨는 반도체·디스플레이 장...
SK케미칼 1분기 영업이익 80억원…작년보다 119.2% 늘어,2020.05.08 16:47,SK케미칼은 연결 기준 올해 1분기 영업이익이 80억원으로 지난해 동기보다 119.2% 증가한 것으로 잠정 집계됐다고 8일 공시했다. 매출은 2천525억원으로 작년 동기 대비 20...
"비트코인 1200만원 돌파…블룸버그 ""월가 거물이 매입""",2020.05.08 09:39,대표 가상자산(암호화폐) 비트코인이 지난주 1000만원을 돌파한 데 이어 8일 만에 연중최고점인 1200만원선까지 넘기며 급등했다. 월가의 헤지펀드 거물...
건설 경기 부양 기대로 달아오른 시멘트주,2020.05.07 17:22,시멘트나 석재 등을 생산하는 건축자재주가 동반 상승 흐름을 타고 있다. 정부가 주택 공급 확대 방안을 내놓은 데 이어 경기 부양을 위해 인프라 투자까지 확대하겠다고 밝히면서 매수세...
