key_title,key_rdate,key_cont
"동성제약, 10억원 규모 자사주 취득 결정[주목 e공시]",2021.12.02 13:07,동성제약은 10억원 규모의 자사주를 취득하기로 결정했다고 2일 공시했다. 취득 예정 주식은 12만4688주이며 취득 예상 기간은 이달 3일부터 2022년...
오미크론 확진자 발생에 진단키트주 강세,2021.12.02 09:22,코로나19의 새로운 변이 바이러스 '오미크론' 확진자가 한국과 미국에서 등장하면서 진단키트 관련주가 강세를 보이고 있다. 2일 오전 9시 10분 기준 코...
외인 매수·D램값 상승…삼성전자 4% 올라,2021.12.01 17:43,삼성전자가 6일 만에 반등에 성공했다. 전날 대규모로 빠져나갔던 외국인 패시브 자금이 유입된 데다 D램 현물 가격이 오르며 주가도 바닥을 다지고 있다는 ...
"금감원 ""무역회사 상대 외환사기 기승…5년간 1천379억원 피해""",2021.12.01 12:00,해외 수출업체 행세 많아…사기 알면 즉시 거래 은행에 지급정지 요청 금융감독원은 국내 무역회사를 대상으로 한 외환 사기 거래가 꾸준히 발생하고 있다며 주...
" 원/달러 환율 3.5원 내린 1,184.4원(개장)",2021.12.01 09:00,/연합뉴스
(마감)코스피 기관 6351억 매도 우위,2021.11.30 15:38,한경닷컴
"LG이노텍, 주가 40만원 간다… 증권사 호평에 신고가",2021.11.30 10:17,LG이노텍이 증권사의 호평에 급등세를 타고 있다. 30일 오전10시12분 현재 LG이노텍은 전일 대비 2만3000원(7.86%) 뛴 31만5500원에 거...
"""실적확대·자율주행 재평가...40만원 간다""",2021.11.30 09:05,"NH투자증권은 30일 LG이노텍이 내년에 호전된 실적을 낼 것이라며 목표주가를 35만원에서 40만원으로 올렸다. 이규하 연구원은 ""LG이노텍의 올해 4분..."
'VC 1호' KTB네트워크 내달 증시 입성,2021.11.29 17:07,벤처캐피털(VC) 업계 1위를 다투는 KTB네트워크가 다음달 코스닥시장에 상장한다. 최대 7200억원의 시가총액으로 VC 대장주에 오를 것이란 전망이 나...
"마스턴투자운용, 경영진 대상 ESG 교육 진행",2021.11.29 10:55,마스턴투자운용이 경영진을 대상으로 ESG 교육을 진행했다고 29일 밝혔다. 마스턴투자운용은 지난 26일 본사 대회의실에서는 ESG 평가·리서...
 분할상장한 SKT·SK스퀘어 동반 하락,2021.11.29 09:14,"SK텔레콤과 SK스퀘어가 분할 상장 첫날 하락세다. 9시 4분 현재 SK텔레콤은 시초가(5만3,400원)대비 2,500원(4.68%) 내린 5만900원에 거래되고 있다. SK스퀘어..."
"""소문에 사라더니…"" 지라시 믿은 개미들 '피눈물' [류은혁의 기업분석실]",2021.11.28 07:37,주식 투자자들 사이에서 격언처럼 전해지는 이야기로 '소문에 사서 뉴스에 팔아라'는 말이 있다. 주식시장에서 들리는 소문을 토대로 주식을 매...
"코스피, 외인·기관 '팔자'에 1%대 하락 마감",2021.11.26 15:51,코스피가 외국인과 기관의 동반 매도세 속에 1%대 하락 마감했다. 남아프리카공화국발 코로나19 변이 바이러스 발생 소식이 투자심리를 위축시킨 것으로 분석...
 코로나19 재확산 우려에 여행·항공주 약세,2021.11.26 09:24,코로나19 재확산 우려가 커지면서 여행·항공주가 약세를 보이고 있다. 26일 오전 9시 20분 기준 유가증권시장에서 하나투어는 전 거래일보다 2.25% ...
"뉴욕증시, 추수감사절 연휴로 휴장",2021.11.26 06:18,뉴욕증시가 25일(이하 현지시간) '추수감사절'을 맞아 휴장했다. 앞서 뉴욕증시는 혼조세를 기록했다. 24일 뉴욕증권거래소(NYSE)에서 ...
