key_title,key_rdate,key_cont
"조광ILI, 경영권 바뀌자 52년만에 최대실적",2020.11.09 17:12,코스닥시장에 상장된 밸브 전문기업 조광ILI가 회사 설립 이후 사상 최대 실적을 올리고 있다. 지난해 처음으로 경영권이 바뀐 뒤 거둔 성과다. 국내 1위...
국제 해상 운임 상승에 해운·조선株 강세…대한해운 '상한가',2020.11.09 10:55,"국제 해상운임이 역대 최고치로 상승했다는 소식에 장초반 해운, 조선 관련주가 급등하고 있다. 9일 오전 10시46분 현재 대한해운은 2085원으로 상한가..."
"두나무, '업비트 개발자 컨퍼런스 2020' 온라인 무료 개최",2020.11.06 16:07,"블록체인 개발자들의 축제 '업비트 개발자 콘퍼런스(Upbit Developer Conference, 이하 UDC)'가 오는 30일부터 내달..."
 (5일) 코스맥스 등,2020.11.05 22:49,▲코스맥스=압축분말상 화장료 조성물 특허권 취득. ▲일성신약=의정부리듬시티로부터 240억원 규모 토지 및 건물 취득.
"美 대선, 바이든에 무게…친환경 에너지·금융株 '유망'[이슈+]",2020.11.05 10:27,미국 대선의 무게추가 조 바이든 민주당 대선 후보 쪽으로 기울고 있다. 바이든의 당선 가능성이 높아지자 주식시장에선 수혜주로 꼽히는 친환경 에너지 관련주(株)가 들썩였다. 바이든 ...
'채용정보 1위 플랫폼' 잡코리아 매각 본격화…국내외 PEF 관심,2020.11.04 16:59,국내 최대 온라인 채용정보 플랫폼인 잡코리아의 매각 작업이 본격화한다. 국내외 대형 사모펀드(PEF)와 전략적 투자자(SI)들이 관심을 보이고 있어 치열한 경쟁이 펼쳐질 것으로 예...
"코스피, 美 대선 기대에 사흘째 상승…'진돗개' 발령에 방산주↑",2020.11.04 09:23,코스피지수가 사흘째 상승하고 있다. 미국 대선을 둘러싼 불확실성이 해소될 수 있다는 기대감이 투자심리를 자극해서다. 간밤 뉴욕증시가 큰 폭으로 상승한 것...
11월11일 MSCI 정기변경…신규 편입 종목 선점해볼까,2020.11.03 15:33,오는 11일 모건스탠리캐피털인터내셔널(MSCI) 한국 스탠더드 지수의 반기 변경 발표를 앞두고 새로 편입될 종목에 대한 관심이 커지고 있다. 지수 편입 후 패시브 자금 유입으로 해...
하늘길 안 열려도…실적 살아난 호텔신라,2020.11.02 17:02,"면세점 매출 비중이 큰 호텔신라의 실적 전망치가 상향 조정되고 있다. 아직 하늘길은 열리지 않았지만 중국 보따리상(따이궁) 활동이 눈에 띄게 늘고 있고,..."
"삼성바이오로직스, 中 진퀀텀과 위탁개발계약",2020.11.02 11:53,삼성바이오로직스는 중국 진퀀텀과 비소세포성 폐암·삼중음성유방암 치료 후보물질 'GQ1003' 세포주 위탁개발(CDO) 계약을 ...
(마감)코스피 외국인 9977억 순매도,2020.10.30 15:34,한경닷컴
 (30일) 보통주추가상장=금호에이치티(BW행사) 등,2020.10.30 03:25,◇보통주추가상장=금호에이치티(BW행사) 팬오션(제3자배정) 금호에이치티 동방(이상 전환)
