key_title,key_rdate,key_cont
"윤창호 한국증권금융 사장 ""올해 26兆 넘게 유동성 공급…증시 활력 유지 목표""",2022.01.20 11:59,한국증권금융이 올해 26조원이 넘는 유동성을 공급하며 증시 활력을 유지하겠다고 밝혔다. 대규모 유동성을 통해 금융투자업계의 원활한 자금 수급을 조달하겠다...
" 오토앤, 코스닥 상장 첫날 강세",2022.01.20 09:30,"오토앤이 코스닥 시장 상장 첫날 강세를 보이고 있다. 20일 오전 9시 23분 현재 오토앤은 시초가(8,800원)보다 1,250원(14.20%) 오른 1만 50원에 거래되고 있다...."
[코스피·코스닥 전 거래일(19일) 주요공시],2022.01.20 06:05,"▲ 두산 ""계열사 두산중공업 주식 2천916억원에 추가취득"" ▲ 종근당바이오, 83억원 규모 보툴리눔톡신 중화권 수출계약 ▲ HDC랩스, 100억원 한도 자사주 취득 결정…주가방어..."
"코인원-포스텍, 연구센터 세워 암호화폐 기술 공동개발",2022.01.19 14:37,암호화폐거래소 코인원은 포스텍과 '크립토·블록체인 기술 공동 연구개발(R&D)을 위한 산학협력'을 추진하는 내용의 양해각서(M...
"코스피, 2년래 최고 급등한 美 국채금리에 주춤…시총상위株 대부분 내려",2022.01.19 09:32,코스피지수가 소폭 내리고 있다. 간밤 미국 국채금리가 신종 코로나바이러스 감염증(코로나19) 팬데믹 이전 수준으로 재차 치솟으면서 투자심리가 급격히 악화...
"17만 신라젠 주주들 어떡하나…'상폐 통보' 신라젠, 코스닥시장위서 결판",2022.01.19 08:24,20개월간 멈춰섰던 신라젠이 증시 퇴출 위기에 몰렸다. 한국거래소가 신약 파이프라인 감소 등 기업가치가 유지될 지 불투명하다는 이유로 상장폐지를 결정하면...
코스피 2860선 마감…에코프로비엠 코스닥 대장주 '등극',2022.01.18 15:49,코스피지수가 기관의 매도에 1% 가까이 하락 마감했다. 14일 코스피지수는 전일 대비 25.86포인트(0.89%) 내린 2864.24에 장을 마쳤다. 지...
회장 사퇴·장내 매수에도 주가 뒷걸음…HDC그룹주 ↓,2022.01.18 09:36,HDC그룹주가 대주주 측의 장내 매수와 정몽규 회장 사퇴에도 일제히 약세를 보이고 있다. 18일 오전9시31분 현재 HDC현대산업개발은 전일 대비 100...
코스피 2900 깨졌다,2022.01.17 17:30,코스피지수가 50여 일 만에 다시 2900선 밑으로 내려갔다. 예상 시가총액 2위 대장주인 LG에너지솔루션 상장을 앞두고 포트폴리오 재조정에 나선 기관의 매도세가 지수 하락을 부추...
"청약한도 최대 2배…KB증권, 공모주 청약고객 위한 이벤트 실시",2022.01.17 10:35,KB증권은 공모주 청약에 참여하는 고객 대상으로 다양한 혜택을 제공하는 이벤트를 실시하고 있다고 17일 밝혔다. 먼저 'KB증권 중개형 ISA&#...
"코스피, 기관 '팔자'에 하락 출발",2022.01.17 09:13,"코스피가 기관의 매도세에 하락 출발했다. 17일 오전 9시 3분 코스피 지수는 전 거래일보다 5.20포인트(0.18%) 내린 2,916.72에 장을 시작했다. 수급별로는 개인과 외..."
"""14층에서 뛰어내린 기분""…고통 호소하는 카카오 주주들 [박의명의 불개미 구조대]",2022.01.15 11:30,카카오 주가가 영원히 전고점을 회복하지 못할 것이란 우려가 나오고 있습니다. 자회사들의 연쇄 상장으로 ‘지주사 디스카운트’ 문제가 ...
