key_title,key_rdate,key_cont
"옵션만기일 맞은 코스피, 소폭 하락…""외국인 수급 주목""",2021.01.14 09:09,옵션만기일을 맞은 코스피지수가 소폭 하락하고 있다. 외국인 선물 수급이 시장에 영향을 미칠 것이라는 전망이다. 14일 오전 9시1분 현재 코스피지수는 전...
(마감)코스피 외국인 1904억 순매수,2021.01.13 15:33,한경닷컴
"""내달부터 백신 접종""…호텔신라·신세계 동반상승",2021.01.12 16:58,"코스피지수가 이틀 연속 조정받는 와중에 두드러진 상승세를 보인 종목들이 있었다. 코로나19가 재확산하면서 조정을 받았던 여행, 면세, 카지노 등 콘택트주..."
" 원/달러 환율 0.7원 오른 1,098.0원(개장)",2021.01.12 09:00,/연합뉴스
"'애플카' 호재 현대차, 삼바 제치고 시총 4위 ""주가 더 간다""",2021.01.11 10:09,현대차 주가가 애플카 관련 호재에 3거래일 째 상승 중이다. 증권가는 현대차에 대한 목표주가를 잇따라 30만원대로 올렸다. 11일 유가증권시장에서 오전 ...
 (8일) 금호산업 등,2021.01.09 02:25,▲금호산업=주식회사 신영도시개발로부터 1111억원 규모 홍천 희망리 공동주택 신축공사 수주. ▲진원생명과학=미국 바이오 업체와 23억원 규모 플래스미드 DNA 공급계약 체결.
" 국제(인민은행, 기업 해외융자 제한 완화…위안화…)",2021.01.08 10:38,"인민은행, 기업 해외융자 제한 완화…위안화 초강세 대응 중국 중앙은행인 인민은행이 자국 기업이 해외에서 자금을 조달할 때 적용하는 제한을 일부 완화했다...."
"외국인·기관 쌍끌이…SK텔레콤, 10년來 최대폭 상승",2021.01.07 16:54,‘엉덩이가 무거운’ 대표적 종목인 SK텔레콤 주가가 큰 폭으로 뛰며 1년 내 최고가를 갈아치웠다. 안정적인 실적 개선세에 더해 자회사와 5세대(5G) 통신 사...
"SK케미칼, 스탠다임과 류머티즘관절염 치료 후보 발굴",2021.01.07 10:49,"SK케미칼은 스탠다임의 인공지능(AI) 플랫폼 기술을 이용한 공동연구를 통해 류머티스 관절염 치료 물질을 발굴하고, 이에 대한 특허를 출원했다고 7일 밝..."
(마감)코스피 외국인 6697억 순매도,2021.01.06 15:34,한경닷컴
" 원/달러 환율 0.6원 내린 1,087.0원(개장)",2021.01.06 09:00,/연합뉴스
한국토지신탁 작년 2천146억원 수주…창사 이래 최대,2021.01.05 09:38,국내 종합 부동산 금융회사인 한국토지신탁(한토신)이 지난해 창사 이래 최대 수주 실적을 달성했다. 한토신은 작년 12월 30일 서울 서대문구 북가좌동 북...
"알에프바이오, 보툴리눔톡신 및 HA필러 신공장 설립 착수",2021.01.04 15:09,알에프바이오는 모회사 알에프텍으로부터 150억원을 투자받아 보툴리눔 톡신 제제와 히알루론산(HA) 필러 신공장 건설에 나선다고 4일 밝혔다. 알에프바이오...
"""옐런은 反가상화폐로 유명""…美, 비트코인 규제 나서나",2021.01.03 17:16,2021년에도 비트코인은 ‘질주’를 이어갈 수 있을까. 업계 관계자들은 이달 출범하는 미국 조 바이든 행정부의 행보를 주목하고 있다. 바이든 정부가 코로나19...
"팬오션, 포르투갈 기업과 LNG선 장기대선계약 체결",2020.12.30 16:02,셸 2척 포함해 올해 총 3척 계약 팬오션은 포르투갈 에너지 종합기업 GALP와 17만4천CBM(㎥)급 액화천연가스(LNG) 운반선 1척에 대한 장기대선...
"웁살라시큐리티, 삼성 블록체인 지갑 AML 서비스 국가 확대",2020.12.29 21:16,글로벌 블록체인 보안 전문기업 웁살라시큐리티가 국내 및 싱가포르 삼성 블록체인 지갑(Samsung Blockchain Wallet)에 제공하고 있는 가상...
"EDGC, 3D프린트 사용 배양육 세포제작 논문 국제학술지 게재",2020.12.29 13:35,이원다이애그노믹스(EDGC)는 3차원(3D) 프린트를 사용한 배양육 세포 제작 관련 논문을 SCI급 국제학술지(Polymers)에 게재했다고 29일 밝혔...
"코스피, 기관 덕에 2800 지켜…삼성전자·LG전자 '신고가'",2020.12.28 15:58,코스피지수가 2800선을 지키며 상승 마감했다. 개인의 팔자세가 거셌지만 기관이 물량을 받아내며 지수를 떠받쳤다. 28일 코스피지수는 전 거래일보다 1....
"KB증권, 네이버 인증서 활용 '모바일 등기우편 서비스' 개시",2020.12.28 09:13,KB증권은 고객이 영업점을 통해 요청하는 자료를 네이버 인증서를 활용한 ‘모바일등기우편’서비스를 이용해 발송한다고 28일 밝혔다. ...
(마감)프로그램 586억 매수 우위,2020.12.24 15:36,한경닷컴
" 원/달러 환율 1.9원 내린 1,106.0원(개장)",2020.12.24 09:03,/연합뉴스
"""올해 배당 받고 싶으면 28일까지 주식 매수해야""",2020.12.23 13:34,12월 결산법인의 배당을 받거나 정기 주주총회에서 의결권을 행사하기 위해서는 오는 28일까지 주식을 매수해야 한다. 23일 한국예탁결제원에 따르면 의결권...
"코스피, 변종 코로나19 여파에 1.6% '하락'…""당분간 숨고르기""",2020.12.22 15:43,코스피지수가 사상 최고치를 찍은 지 하루 만에 하락 마감했다. 22일 코스피지수는 44.97포인트(1.62%) 하락한 2733.68에 거래를 마쳤다. 이...
 코스피 0.23% 오른 2778.65 마감…또 '사상 최고',2020.12.21 15:34,"코스피, 6.47포인트(0.23%) 오른 2778.65 마감…또 '사상 최고' 채선희 한경닷컴 기자 csun00@hankyun..."
'공포'에 사서 기다렸다…'주식 필패론' 깬 개미군단,2020.12.20 17:46,주식시장에서 ‘개미 필패(必敗)’는 일종의 공식과 같았다. 개인은 외국인을 뒤늦게 따라가다가 고점에 물리기를 반복했다. 1992년 ...
"대웅제약, 보톡스 분쟁 이슈 해소에 '신고가'…메디톡스도 상승",2020.12.18 10:13,보톡스 분쟁이 마무리되면서 대웅제약과 메디톡스 주가가 상승 중이다. 대웅제약은 불확실성 해소가 호재로 작용하며 장중 신고가를 경신했다. 18일 오전 10...
