key_title,key_rdate,key_cont
"알테오젠, 39억원 규모 마일스톤 수령",2023.05.31 15:25,"알테오젠은 산도스로부터 ALT-B4 관련 마일스톤 수령을 수령했다고 31일 공시했다. 기술료 대상금액은 300만달러(약 39억7000만원)다.회사 측은 ""기술료는 계약서에 의거해 회사의 송장 발행일로부터 60일 이내 수령할 예정""이라고 밝혔다...
                |  머니S 송은정 기자   
2023.05.31 15:25
"
"성일하이텍, 다음달 1일 기업설명회 개최",2023.05.31 09:54,"성일하이텍은 회사 소개 및 주요 사업현황에 대한 투자자 이해 증진을 위해 다음달 1일 국내외 기관투자자들을 대상으로 기업설명회를 개최한다고 31일 공시했다...
                |  머니S 송은정 기자   
2023.05.31 09:54
"
"필옵틱스, 630억원 규모 디스플레이 제조장비 공급 계약 체결",2023.05.30 15:51,"필옵틱스는 삼성디스플레이와 630억원 규모의 디스플레이 제조장비 공급 계약을 체결했다고 30일 공시했다.계약 금액은 최근 매출액 대비 20.72%에 해당한다. 계약 기간은 2025년 1월31일까지다...
                |  머니S 송은정 기자   
2023.05.30 15:51
"
"에프엔에스테크, 360억원 규모 디스플레이 제조용 기계장치 계약",2023.05.30 10:15,"에프엔에스테크는 삼성디스플레이와 360억원 규모의 디스플레이 제조용 기계장치 공급 계약을 체결했다고 30일 공시했다.계약 금액은 최근 매출액 대비 53.22%에 해당한다. 계약 기간은 2024년 6월30일까지다.- 구체적인 계약 내용은.▶삼성디스플레이는 
                |  머니S 송은정 기자   
2023.05.30 10:15
"
"K-원전의 미래, SMR 개발 박차… 선제 준비 '착착'",2023.05.28 06:50,"    ▶기사 게재 순서①신한울 3·4호 ""5兆 단비""… 탈원전 5년 끝에 활력 되찾은 ""원전 생태계""②방폐물·소송·인력난… 원전 강국 복원에 놓인 ""장애물""③K-원전의 미래, SMR 개발 박차… 선제 준비 ""착착"" [/소박스]글로벌 원자력 발전업계가 ""소
                |  머니S 이한듬 기자   
2023.05.28 06:50
"
"보성파워텍, 62억원 규모 재생에너지 발전시스템 보강자재 공급 계약",2023.05.26 15:21,"보성파워텍은 한국전력공사와 62억원 규모의 소형도서 재생에너지 발전시스템 보강자재 공급 계약을 체결했다고 26일 공시했다.계약 금액은 최근 매출액 대비 11.5%에 해당하는 규모다. 계약 기간은 이날부터 2023년 10월20일까지다...
                |  머니S 송은정 기자   
2023.05.26 15:21
"
"아이티아이즈, 한국전력거래소 IT 유지관리 위탁용역 계약 체결",2023.05.26 10:26,"아이티아이즈는 한국금융정보산업협동조합과 한국전력거래소 2019~2020년 전력IT 유지관리 위탁용역 계약을 체결했다고 26일 공시했다.계약 금액은 131억원이다. 이는 최근 매출액 대비 24.13%에 해당한다. 계약 기간은 2023년 11월30일까지다...
                |  머니S 송은정 기자   
2023.05.26 10:26
"
[뉴욕증시] 기술주가 이끈 나스닥 고공행진… 혼조 마감,2023.05.26 07:17,"    뉴욕증시에서는 미국 반도체 업체 엔비디아의 주가 폭등과 기술주들의 상승세로 나스닥지수가 큰 폭으로 반등한 채 장을 마쳤다.  25일(미 동부시간) 뉴욕증권거래소(NYSE)에서 기술주 중심의 나스닥지수는 전일 대비 213.93포인트(1.71%) 상승한
                |  머니S 최이레 기자   
2023.05.26 07:17
"
"대웅제약, 연속혈당측정기 60만개 판매… 혈당 관리 캠페인 진행",2023.05.25 15:37,"    대웅제약이 연속혈당측정기(CGM) 프리스타일 리브레를 활용한 올바른 혈당 관리 캠페인을 전개한다.대웅제약은 의료진과 환자를 대상으로 프리스타일 리브레 체험 마케팅과 혈당관리 캠페인을 진행한다고 25일 밝혔다. 의료진을 통해 교육받고 연
                |  머니S 지용준 기자   
2023.05.25 15:37
"
"[특징주]LG헬로비전, LG 전기차 충전 솔루션 사업 본격 전개 소식에 충전소 설치 운영 부각",2023.05.25 10:14,"    LG전자가 전기차(EV) 충전기 생산을 시작으로 본격적인 전기차 충전 솔루션 사업에 나선다는 소식에 LG헬로비전 주가가 강세다. LG그룹의 전기차 충전기 보급사업자로서 설치부터 유지 관리, 운영을 담당하는 헬로(Hello)플러그인"" 사업
                |  머니S 최이레 기자   
2023.05.25 10:14
"
"한화에어로스페이스·한화솔루션, 한화퓨처프루프 주식 6557억원에 추가 취득",2023.05.24 17:14,"한화에어로스페이스와 한화솔루션은 미국 계열사 한화퓨처프루프의 주식 5만주를 각각 추가 취득한다고 24일 공시했다.한화에어로스페이스의 취득금액은 6557억원으로, 자기자본의 16.71%에 해당한다. 한화솔루션의 취득금액도 6557억원으로, 자기자본의 
                |  머니S 송은정 기자   
2023.05.24 17:14
"
"성일하이텍, 25일 기업설명회 개최",2023.05.24 11:01,"성일하이텍은 오는 25일 서울 신라호텔에서 해외 기관투자자들을 대상으로 기업설명회를 개최한다고 24일 공시했다...
                |  머니S 송은정 기자   
2023.05.24 11:01
"
"상반기 'IPO 최대어' 기가비스, 코스닥 입성… '따상' 기대감↑",2023.05.24 05:52,"    일반청약에서 10조원의 뭉칫돈을 끌어모은 글로벌 반도체 기판 검사 기업 기가비스가 코스닥 시장에 입성한다. 24일 한국거래소에 따르면 기가비스의 코스닥 매매는 이날부터 개시된다. 시초가는 오전 8시30분~9시에 공모가(4만3000원)의 90~200% 사
                |  머니S 이지운 기자   
2023.05.24 05:52
"
"안재용 SK바사 사장 ""기술력 등 모두 이전해 글로벌 백신 불평등 해소""",2023.05.23 11:12,"    안재용 SK바이오사이언스 대표이사 사장이 세계보건총회(WHA) 기간 글로벌 공중보건 지도자들이 모인 자리에서  글로벌 백신 공급 불평등 문제를 해결하기 위해 지역거점형 백신 허브 구축의 필요성을 강조했다.안 사장은 지난 22일(현지시각) 
                |  머니S 최영찬 기자   
2023.05.23 11:12
"
"다이나믹디자인, 불성실 공시법인 지정 예고",2023.05.23 08:06,"다이나믹디자인은 공시 번복에 따라 불성실 공시 법인 지정이 예고돼 있다고 지난 22일 공시했다...
                |  머니S 송은정 기자   
2023.05.23 08:06
"
"연 최대 6% 편의점 적금 나왔다… CU, 페퍼저축은행과 맞손",2023.05.22 14:52,"    연 최대 6% 금리를 받을 수 있는 편의점 적금 상품이 나온다. BGF리테일이 운영하는 편의점 CU가 페퍼저축은행과 손잡고 자체 커머스 앱 포켓CU를 통해 최대 6% 금리의 ""페퍼스 제휴 적금 with CU(이하 페퍼스 제휴 적금)""를 판매한다고
                |  머니S 조승예 기자   
2023.05.22 14:52
"
"[특징주] 디와이디, 계열사 삼부토건 1200조 규모 우크라이나 글로벌 재건 포럼 참가 소식에 강세",2023.05.22 10:04,"    디와이디 계열사 삼부토건이 우크라이나 글로벌 재건 포럼에 초청됐다는 소식에 디와이디, 삼부토건 두 종목 주가가 모두 강세다.22일 오전 9시58분 현재 디와이디는 전 거래일 대비 20.77% 오른 1372원에 거래되고 있다. 삼부토건의 주가도 22.59% 
                |  머니S 최이레 기자   
2023.05.22 10:04
"
"삼성바이오로직스, 글로벌 바이오 CDMO 매출 4위… 1위는?",2023.05.20 06:14,"    전 세계 바이오의약품 위탁개발생산(CDMO) 시장이 지속해서 성장할 것이라는 전망이 나왔다. 지난해 기준 전 세계 CDMO 매출 1위 기업은 스위스 론자였고 삼성바이오로직스는 4위로 집계됐다. 론자와 삼성바이오로직스의 매출 규모는 2배 가
                |  머니S 지용준 기자   
2023.05.20 06:14
"
