,장중_긍정비율,장중_부정비율,장중_긍부정비율,장외_긍정비율,장외_부정비율,장외_긍부정비율,등락률,등락여부
2021-01-04,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.9166666666666666,0.08333333333333333,0.75,2.47,1.0
2021-01-05,0.9516129032258065,0.04838709677419355,0.8548387096774194,0.9,0.1,0.7,1.57,1.0
2021-01-06,0.8372093023255814,0.16279069767441862,0.5116279069767442,0.8648648648648649,0.13513513513513514,0.5945945945945946,-0.75,0.0
2021-01-07,0.8507462686567164,0.14925373134328357,0.5522388059701493,0.8974358974358975,0.10256410256410256,0.6923076923076923,2.14,1.0
2021-01-08,1.0,0.0,1.0,0.9298245614035088,0.07017543859649122,0.7894736842105263,3.97,1.0
2021-01-11,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.8181818181818182,0.18181818181818182,0.45454545454545453,-0.12,0.0
2021-01-12,0.896551724137931,0.10344827586206896,0.6896551724137931,0.68,0.32,0.04,-0.71,0.0
2021-01-13,0.7428571428571429,0.2571428571428571,0.22857142857142856,0.8709677419354839,0.12903225806451613,0.6129032258064516,0.71,1.0
2021-01-14,0.9310344827586207,0.06896551724137931,0.7931034482758621,0.8125,0.1875,0.4375,0.05,1.0
2021-01-15,0.7910447761194029,0.208955223880597,0.373134328358209,0.8775510204081632,0.12244897959183673,0.6326530612244898,-2.03,0.0
2021-01-18,0.75,0.25,0.25,0.7666666666666667,0.23333333333333334,0.3,-2.33,0.0
2021-01-19,0.6593406593406593,0.34065934065934067,-0.02197802197802198,0.4727272727272727,0.5272727272727272,-0.5818181818181818,2.61,1.0
2021-01-20,0.8705882352941177,0.12941176470588237,0.611764705882353,0.8787878787878788,0.12121212121212122,0.6363636363636364,0.71,1.0
2021-01-21,0.9507042253521126,0.04929577464788732,0.852112676056338,0.8536585365853658,0.14634146341463414,0.5609756097560976,1.49,1.0
2021-01-22,0.9381443298969072,0.061855670103092786,0.8144329896907216,0.7647058823529411,0.23529411764705882,0.29411764705882354,-0.64,0.0
2021-01-25,0.75,0.25,0.25,0.8928571428571429,0.10714285714285714,0.6785714285714286,2.18,1.0
2021-01-26,0.9727272727272728,0.02727272727272727,0.9181818181818182,0.7647058823529411,0.23529411764705882,0.29411764705882354,-2.14,0.0
2021-01-27,0.8543689320388349,0.14563106796116504,0.5631067961165048,0.7592592592592593,0.24074074074074073,0.2777777777777778,-0.57,0.0
2021-01-28,0.926829268292683,0.07317073170731707,0.7804878048780488,0.6415094339622641,0.3584905660377358,-0.07547169811320754,-1.71,0.0
2021-01-29,0.7479674796747967,0.25203252032520324,0.24390243902439024,0.7049180327868853,0.29508196721311475,0.11475409836065574,-3.03,0.0
2021-02-01,0.6,0.4,-0.2,0.96,0.04,0.88,2.7,1.0
2021-02-02,0.9649122807017544,0.03508771929824561,0.8947368421052632,0.8809523809523809,0.11904761904761904,0.6428571428571429,1.32,1.0
2021-02-03,0.9137931034482759,0.08620689655172414,0.7413793103448276,0.8148148148148148,0.18518518518518517,0.4444444444444444,1.06,1.0
2021-02-04,0.8095238095238095,0.19047619047619047,0.42857142857142855,0.8148148148148148,0.18518518518518517,0.4444444444444444,-1.35,0.0
2021-02-05,0.6363636363636364,0.36363636363636365,-0.09090909090909091,0.75,0.25,0.25,1.07,1.0
2021-02-08,0.75,0.25,0.25,0.631578947368421,0.3684210526315789,-0.10526315789473684,-0.94,0.0
2021-02-09,0.6551724137931034,0.3448275862068966,-0.034482758620689655,0.6744186046511628,0.32558139534883723,0.023255813953488372,-0.21,0.0
2021-02-10,0.875,0.125,0.625,0.723404255319149,0.2765957446808511,0.1702127659574468,0.52,1.0
2021-02-15,0.7692307692307693,0.23076923076923078,0.3076923076923077,0.9459459459459459,0.05405405405405406,0.8378378378378378,1.5,1.0
2021-02-16,0.9411764705882353,0.058823529411764705,0.8235294117647058,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.52,1.0
2021-02-17,0.8936170212765957,0.10638297872340426,0.6808510638297872,0.7368421052631579,0.2631578947368421,0.21052631578947367,-0.93,0.0
2021-02-18,0.6451612903225806,0.3548387096774194,-0.06451612903225806,0.6216216216216216,0.3783783783783784,-0.13513513513513514,-1.5,0.0
2021-02-19,0.7619047619047619,0.23809523809523808,0.2857142857142857,0.696969696969697,0.30303030303030304,0.09090909090909091,0.68,1.0
2021-02-22,0.7692307692307693,0.23076923076923078,0.3076923076923077,0.7272727272727273,0.2727272727272727,0.18181818181818182,-0.9,0.0
2021-02-23,0.84375,0.15625,0.53125,0.7380952380952381,0.2619047619047619,0.21428571428571427,-0.31,0.0
2021-02-24,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.7631578947368421,0.23684210526315788,0.2894736842105263,-2.45,0.0
2021-02-25,0.8133333333333334,0.18666666666666668,0.44,0.8,0.2,0.4,3.5,1.0
2021-02-26,0.9859154929577465,0.014084507042253521,0.9577464788732394,0.8292682926829268,0.17073170731707318,0.4878048780487805,-2.8,0.0
2021-03-02,0.9090909090909091,0.09090909090909091,0.7272727272727273,0.7692307692307693,0.23076923076923078,0.3076923076923077,1.03,1.0
2021-03-03,0.9038461538461539,0.09615384615384616,0.7115384615384616,0.9393939393939394,0.06060606060606061,0.8181818181818182,1.29,1.0
2021-03-04,0.8,0.2,0.4,0.8064516129032258,0.1935483870967742,0.41935483870967744,-1.28,0.0
2021-03-05,0.7555555555555555,0.24444444444444444,0.26666666666666666,0.6511627906976745,0.3488372093023256,-0.046511627906976744,-0.57,0.0
