key_title,key_rdate,key_cont
 (5일) 변경상장=컨버즈(주식병합) 등,2020.03.05 03:50,◇변경상장=컨버즈(주식병합) ◇무상증자권리락=일동제약 일동홀딩스 ◇구주주청약=HDC현대산업개발 ◇보통주추가상장=제이준코스메틱(전환) 유니켐(스톡옵션행사)
"대산공장 폭발 사고 롯데케미칼, '약세'",2020.03.04 09:37,롯데케미칼의 주가가 대산공장 폭발 사고 소식으로 하락세다. 4일 오전 9시31분 현재 롯데케미칼은 전날보다 3000원(1.60%) 내린 18만5000원에...
"에이치엘사이언스, 제54회 납세의 날 모범납세자 표창",2020.03.03 13:58,에이치엘사이언스는 제54회 납세의 날에 기획재정부 장관의 표창을 받았다고 3일 밝혔다. 에이치엘사이언스는 성실한 세무신고와 투명한 회계관리로 관련 법령에...
(마감)코스피 기관 2720억 매수 우위,2020.03.02 15:37,한경닷컴
"코로나19 공포에 공매도 기승…금융당국, 홍콩식 '공매도 지정제' 검토",2020.03.02 08:24,금융감독원이 주식 시장에서 시가총액이 일정 수준 이상인 종목만 공매도할 수 있는 홍콩식 공매도 지정제도 도입을 검토하고 있다. 신종 코로나바이러스 감염증...
외환당국 개입 경계감에 원/달러 환율↓ 원/엔 환율 1110원대,2020.02.28 15:47,"28일 원/달러 환율이 하락했다. 이날 서울 외환시장에서 원/달러 환율은 전일 종가보다 3.5원 내린 달러당 1,213.7원에 거래를 마쳤다. 환율은 2..."
코로나19 공포에 증시 급락…원화 강세는 왜?[이슈+],2020.02.28 10:43,신종 코로나바이러스 감염증(코로나19) 공포 확산에 국내 증시가 급락하는 가운데 원·달러 환율은 사흘 만에 하락 중(원화 강세)이다. 28일...
"골드만삭스, 최악의 전망…""코로나19로 기업들 올해 한푼도 더 못 벌 것""",2020.02.28 07:45,글로벌 투자은행(IB)인 골드만삭스가 신종 코로나바이러스 감염증(코로나19)과 관련해 최악의 전망을 내놨다. 코로나19 사태로 올해 미국 기업들의 순이익 성장률이 '제로(0...
(마감)코스피 외국인 4097억 순매도,2020.02.27 15:35,한경닷컴
[코스피·코스닥 전 거래일(26일) 주요공시],2020.02.27 06:05,"▲ 아리온 ""칭찬비타민 주식 40억원어치 취득…지분율 16%"" ▲ 대한전선, 작년 영업익 35% 감소…수주량은 25% 증가 ▲ 카페24 작년 영업이익 98억원…36.9% 감소 ▲ ..."
"젠바디, 中 장쑤성 CDC와 코로나19 신속진단키트 개발 MOU",2020.02.26 10:40,체외진단 전문기업 젠바디는 현재 개발 중인 신종 코로나바이러스 감염증(코로나19) 신속진단키트 임상시험을 위한 국제적 연구협력 체계 구축에 나섰다고 26...
 (26일) 보통주추가상장=쌍방울 흥아해운,2020.02.26 03:42,◇보통주추가상장=쌍방울 흥아해운(이상 전환)
"코스피, 장중 2100선 재탈환…""증시 밸류에이션 부담 줄어""",2020.02.25 10:34,코스피지수가 상승하고 있다. 25일 오전 10시 33분 현재 코스피지수는 전날보다 16.01포인트(0.77%) 상승한 2095.05에 거래되고 있다. 이...
신작 게임 흥행 조짐에 네오위즈 '질주',2020.02.24 23:23,게임회사 네오위즈가 꾸준히 주가를 높여가고 있다. 신작 게임이 흥행 조짐을 보이고 웹보드게임 규제 완화도 기대되기 때문이다. 24일 코스닥시장에서 네오위즈는 400원(2.21%) ...
"글로벌텍스프리, 지난해 연결 영업이익 전년比 895%↑",2020.02.24 14:36,"국내 부가세 환급(택스리펀드) 1위 기업인 글로벌텍스프리(GTF)가 지난해 대규모 실적 개선을 이뤄냈다. GTF는 2019년 연결 재무제표 기준 매출 598억원, 영업이익 69억원..."
" 코스피, 코로나19 우려에 사흘째 하락…원·달러 환율 '급등'",2020.02.24 09:15,코스피지수가 신종 코로나바이러스 감염증(코로나19)에 대한 우려로 3거래일 연속 하락세다. 2% 이상 급락 출발해 2100선 초반대까지 내려왔다. 24일...
원/달러 환율 1210원 턱밑 마감…이틀새 20원 급등,2020.02.21 15:40,"21일 원/달러 환율이 1,210원 턱밑까지 오르며 5개월여 만에 최고치를 기록했다. 이날 서울 외환시장에서 원/달러 환율은 전날보다 10.5원 오른 달..."
 (20일) 메디포스트 등,2020.02.21 00:46,▲메디포스트=탈모 치료 관련 중국 특허 취득. ▲모트렉스=유상증자 가액 1925원으로 확정. ▲엠젠플러스=최대주주가 셀루메드에서 씨파홀딩스 외 2인으로 변경. ▲휴림로봇=20억원 ...
"한국알콜, '코로나19' 확산에 강세…손 소독제 원료 부각",2020.02.20 13:49,한국알콜이 신종 코로나 바이러스(코로나19) 확산 영향으로 손 세정제에 대한 관심이 높아지면서 강세를 보이고 있다. 20일 오후 1시 44분 현재 코스닥...
