key_title,key_rdate,key_cont
"카카오, 52주 신고가 경신…액분 후 처음으로 16만원 돌파",2021.06.23 09:45,카카오가 52주 신고가를 또 경신했다. 23일 오전 9시42분 기준 카카오는 전 거래일 대비 5500원(3.46%) 오른 16만4500원에 거래되고 있다...
"공포에 휩싸인 코인시장 ""3만달러 깨지면 투매 나올 것""",2021.06.22 17:25,암호화폐 투자의 공포 심리가 지난달 폭락장 이후 가장 커진 것으로 나타났다. 중국 정부의 ‘암호화폐 전면 금지’ 조치가 본격화하면서 최대 지급결제서비스 회사인...
"한화시스템 ""현대로템에 K2 전차 3차 양산 부품 공급키로"" [주목 e공시]",2021.06.22 10:07,한화시스템은 K2 전차를 생산할 현대로템에 2023년 12월31일까지 포수조준경 등 12개 항목을 공급하기로 하는 계약을 지난 21일 맺었다고 22일 공...
美-北 대화 빗장 풀리나…경협株 들썩,2021.06.21 17:59,북미 대화가 재개될 수 있다는 기대에 남북경협주가 꿈틀거렸다. 다만 대화 일정 등이 구체화되지 않은 만큼 장 막판 상승폭이 줄었다. 21일 조비는 1.3...
"거래소, 스카이문스테크놀로지 상폐 여부 결정[주목 e공시]",2021.06.21 11:05,한국거래소 코스닥시장본부는 스카이문스테크놀로지의 개선기간 종료에 따른 상장폐지 여부를 결정한다고 21일 공시했다. 앞서 거래소는 지난해 6월19일 기업심...
누구나 쉽게 웹사이트 만든다…'올인원 플랫폼' 스퀘어스페이스,2021.06.20 17:58,스퀘어스페이스(SQSP)는 기업과 독립 크리에이터가 인터넷을 통해 브랜드 구축 및 비즈니스를 관리할 수 있는 올인원 플랫폼을 운영하는 기업이다. 블로그 ...
"웰크론한텍, 오송캠퍼스II 신축공사 계약 체결[주목 e공시]",2021.06.18 14:39,웰크론한텍은 프레스티지바이오로직스와 오송캠퍼스II 신축공사 계약을 체결했다고 18일 공시했다. 계약금액은 296억원으로 이는 2020년 매출 대비 14....
"LG화학, ESS 대량 수주 '희소식'에 꿈틀",2021.06.17 17:47,LG화학 주가가 공급 호재에 힘입어 반등했다. 2차전지 관련 밸류체인 주가도 줄줄이 상승했다. 증권업계에서는 2차전지의 구조적 성장세를 고려했을 때 하반기 내내 관련 호재가 이어질...
'BTS 효과' 하이브 30만원 돌파 목전…지금 사도 될까,2021.06.17 11:06,방탄소년단(BTS) 소속사 하이브가 주당 30만원 돌파를 목전에 뒀다. 최근 BTS가 두 번째 영어 곡 '버터'(Butter)로 미국 빌보...
 (17일) 신규상장=라온테크(232680) 등,2021.06.17 00:01,◇신규상장=라온테크(232680) ◇변경상장=우노앤컴퍼니→폴라리스우노(상호변경)
"네이버, 장중 상승세에 시가총액 3위 자리 탈환",2021.06.16 14:39,전일 시가총액 3위 자리를 카카오에 내줬던 네이버가 하루만에 다시 탈환에 성공했다. 16일 오후2시35분 기준 네이버는 전 거래일 대비 6500원(1.6...
 (15일) SK바이오팜 등,2021.06.16 00:28,▲SK바이오팜=자회사 SK라이프사이언스와 493억원 규모 뇌전증 치료 신약 세노바메이트 공급 계약 체결. ▲유나이티드=메디맥스에 156억원 규모 항암제 공급 계약 체결. ▲HDC현...
" 코스피, 이틀 연속 사상 최고치 경신…3,258.63 마감",2021.06.15 15:31,/연합뉴스
"하나은행, 4천350억 규모 ESG 후순위 채권 발행",2021.06.15 08:47,하나은행은 4천350억원 규모의 원화 ESG(환경·사회·지배구조) 후순위채권 발행에 성공했다고 15일 밝혔다. 이번 발행은 신재생에너지 개발 등 녹색사업...
(마감)코스피 기관 3332억 매도 우위,2021.06.14 15:52,한경닷컴
크래프톤 상장예비심사 승인…중복청약·따상 기대해도 되나,2021.06.14 07:50,올해 기업공개(IPO) 시장의 대어 중 하나로 관심을 모았던 게임 기업 크래프톤이 상장예비심사 승인을 받아냈다. 크래프톤이 오는 20일 전에 증권신고서를...
에셋플러스운용도 '액티브 ETF' 뛰어든다,2021.06.11 17:30,국내 1세대 가치투자자 강방천 회장이 이끄는 에셋플러스자산운용이 액티브 상장지수펀드(ETF) 출시를 준비 중인 것으로 알려졌다. 올 하반기에 10여 개 운용사가 이 시장을 두고 치...
"코스피, 美인플레 우려에도 소폭 오름세…삼성SDI 4%대↑",2021.06.11 09:39,코스피지수가 소폭 오르고 있다. 간밤 미국증시가 13년 만의 최고 물가상승률에도 일제히 상승한 것이 영향을 미치고 있다. 11일 오전 9시21분 현재 코...
" 원/달러 환율 0.4원 오른 1,115.8원(마감)",2021.06.10 15:31,/연합뉴스
