key_title,key_rdate,key_cont
"'롤러코스터' 코인, 큰코다치지 않으려면…",2021.04.25 18:14,암호화폐 시장이 롤러코스터를 타면서 투자자들의 혼란이 커지고 있다. 암호화폐거래소 업비트에서 대장주 비트코인은 지난 14일 8199만4000원까지 치솟은...
암호화폐 '검은 금요일'…비트코인 6000만원 붕괴,2021.04.23 17:27,"암호화폐시장이 23일 ‘검은 금요일’을 맞았다. 비트코인이 10% 넘게 떨어졌고 도지코인, 아로와나토큰 같은 알트코인(비주류 암호화..."
현대위아 1분기 영업이익 274억원…작년 동기 대비 67.6%↓,2021.04.23 14:54,시장 전망치 13.8% 하회 코스피 상장사 현대위아는 연결 기준 올해 1분기 영업이익이 274억원으로 지난해 동기보다 67.6% 감소한 것으로 잠정 집계됐다고 23일 공시했다. 이...
"이엔코퍼레이션, 친환경 폐기물 체질개선 분석에도 약세",2021.04.23 09:27,이엔코퍼레이션이 산업용 수처리 기업 한성크린텍과 액상 폐기물 처리 기업 인바이오텍을 인수하며 친환경 폐기물 처리 기업으로 체질개선했다는 분석에도 불구하고...
알트코인 '무더기 상장'으로 대박난 암호화폐 거래소…투자자 보호엔 '구멍',2021.04.22 17:39,"던프로토콜, 링크플로우, 바나나톡, 도지코인, 아로와나토큰, 메탈, 메디블록…. 22일 국내 대형 암호화폐거래소에서 거래대금 상위권을 꿰찬 ..."
KB금융 1분기 영업이익 1조7천472억원…작년 동기 대비 68.1%↑,2021.04.22 15:37,시장 전망치 16.3% 상회 코스피 상장사 KB금융은 연결 기준 올해 1분기 영업이익이 1조7천472억원으로 지난해 동기보다 68.14% 증가한 것으로 잠정 집계됐다고 22일 공시...
"'화상회의' 퍼시스, 연일 상한가…코로나 재확산 우려",2021.04.22 10:56,퍼시스가 2거래일 연속 상한가를 기록했다. 전 세계 신종 코로나바이러스 감염증(코로나19) 재확산 우려가 커지면서다. 22일 오전 10시40분 현재 코스...
 (21일) 네패스아크 등,2021.04.22 03:06,▲네패스아크=12인치 OLED DDI 테스트 설비 시설에 150억원 신규 투자. ▲웹케시=B2B 거래 조회 시스템 및 관련 컴퓨터 프로그램에 대한 특허권 취득. ▲초록뱀미디어=쿠팡...
우리금융지주 1분기 영업이익 9천333억원…작년 대비 20.7%↑,2021.04.21 15:31,시장 전망치 11.7% 상회 코스피 상장사 우리금융지주는 연결 기준 올해 1분기 영업이익이 9천333억원으로 지난해 동기보다 20.69% 증가한 것으로 잠정 집계됐다고 21일 공시...
"유틸렉스, 이중항체 면역항암제 'EU505' 위탁개발생산 계약",2021.04.21 10:03,유틸렉스는 이중항체 면역항암제인 'EU505'의 임상시료 위탁개발생산(CDMO) 계약을 체결했다고 21일 밝혔다. EU505는 '항...
중소 거래소 9월께 대거 문 닫을 수도,2021.04.20 17:43,100개 안팎으로 추산되는 국내 암호화폐거래소 중 상당수가 오는 9월을 전후로 무더기 폐업할 가능성이 점차 커지고 있다. 지난달 25일 시행된 새 특정금융거래법(특금법)에 따라 사...
" 코스피, 3개월 만에 사상 최고치 경신",2021.04.20 15:32,"20일 코스피가 3개월 만에 종가 기준 사상 최고치를 경신했다. 이날 코스피는 전날보다 21.86포인(0.68%) 오른 3,220.70으로 마감하며, 역..."
 (20일) 구주주청약=다원시스 등,2021.04.20 00:44,"◇구주주청약=다원시스 ◇공모주청약=쿠콘(하나, 삼성)"
(마감)코스피 기관 1157억 매도 우위,2021.04.19 15:42,한경닷컴
" 원/달러 환율 0.7원 오른 1,117.0원(개장)",2021.04.19 09:00,/연합뉴스
 (16일) 쌍용자동차 등,2021.04.17 01:20,"▲쌍용자동차=협력사 납품 거부로 19~23일 평택공장 생산 중단. ▲신성이엔지=139억원 규모 프레스티지바이오로직스 GMP 제조시설 클린룸 공사 수주, 호반건설에 102억원 규모 ..."
"크라운제과, 상한가…""윤석열 제3지대 신당 합류?""",2021.04.16 10:11,'윤석열 테마주'로 알려진 크라운제과 관련주가 동반 강세다. 김종인 국민의힘 전 비상대책위원장과 무소속 금태섭 의원이 회동을 가진 가운데 ...
"은성수 금융위원장 ""공매도 재개는 정상화로 가는 것""",2021.04.15 17:56,은성수 금융위원장은 “공매도 재개는 정상화로 가는 것이기 때문에 외국인 투자자가 국내 주식시장으로 돌아왔으면 좋겠다”고 말했다. 15일 서울 여의도 한국거래소...
"""없어서 못판다""…LG전자, 미국 세탁기공장 증설",2021.04.15 12:23,LG전자가 북미시장 수요 대응을 위해 현지 세탁기 공장을 증설한다. LG전자는 미국 테네시주 클락스빌에 있는 세탁기 공장에 2050만달러(약 229억원)...
 (15일) 변경상장=경남바이오파마→블루베리NFT 자안→자안바이오 등,2021.04.15 02:36,◇변경상장=경남바이오파마→블루베리NFT 자안→자안바이오 필로시스헬스케어→피에이치씨 해마로푸드서비스→맘스터치(이상 상호변경)
"우정바이오, GMP제조소·동물실험실 구축 계약에 '상승'",2021.04.14 11:07,우정바이오가 바이오 신약 개발 업체인 엠디헬스케어와 품질관리기준(GMP) 제조소·동물실험실 구축 계약을 체결했다는 소식에 상승세를 보이고 있...
 (13일) 하나제약,2021.04.14 00:30,▲하나제약=주주들에게 보유주식 한 주당 신주 0.1주를 발행하는 무상증자 결정.
"지놈앤컴퍼니 ""신규 표적 'CNTN-4', 위암 생존율과 연관""",2021.04.13 13:53,지놈앤컴퍼니는 미국암연구학회(AACR 2021)에서 신규 면역관문억제제 'GENA-104'와 신규 표적인 'CNTN-4'(코...
 (13일) 변경상장=라이브플렉스→ES큐브 등,2021.04.13 01:01,◇변경상장=라이브플렉스→ES큐브 전파기지국→와이어블 파마리서치프로덕트→파마리서치(이상 상호변경) ◇공모주청약=이삭엔지니어링(신한) 해성티피씨(한국)
고개드는 보복소비…삼성카드 주가 탄력받을까,2021.04.12 15:33,코로나19로 인해 억눌려왔던 민간 소비가 본격적으로 꿈틀하면서 삼성카드 주가도 탄력을 받을거란 전망이 나오고 있다. 12일 삼성카드는 0.15% 오른 3...
"큐리언트, AACR서 'Q901' 내성 유방암 치료효과 발표",2021.04.12 10:03,큐리언트는 미국암학회(AACR)에서 'CDK-7저해제'인 'Q901'의 시험결과를 발표했다고 12일 밝혔다. 이번 발표는 최...
"""코인 누구나 쉽게 만들어…거래 활발한지 먼저 살펴봐야""",2021.04.09 17:19,암호화폐 전문가들은 “코인 사기에 당하지 않으려면 투자자의 ‘옥석 가리기’ 역량이 무엇보다 중요하다”고 입을 ...
"에이치엘사이언스, '우슬조인트100' 몽드셀렉션 금상 수상",2021.04.09 11:08,에이치엘사이언스는 관절 및 연골 건강기능제품인 '관절연골엔 우슬조인트 100'이 세계적 권위의 국제품질평가기관인 몽드 셀렉션의 '2...
 (9일) 보통주추가상장=카카오 등,2021.04.09 03:07,◇보통주추가상장=카카오(스톡옵션행사) 국동(신주인수권행사) 국보 코스모화학(이상 전환)
"희림, 303억 규모 리모델링사업 설계용역 계약[주목 e공시]",2021.04.08 14:09,희림은 LG 메트로시티 리모델링주택조합설립 추진위원회와 303억9300만원 규모 리모델링사업 설계용역 공급계약을 체결했다고 8일 공시했다. 이번 계약금액은 2020년 연결 기준 매...
코로나 재확산세…'酒가' 어찌하오리까,2021.04.07 11:21,신종 코로나바이러스 감염증(코로나19) 확진자가 지난 6일 기준 600명을 넘어서며 주류회사 주가가 악영향을 받는 것 아니냐는 우려가 나온다. 정부는 9...
"카카오, 7%대 강세…장중 54만원도 '돌파'",2021.04.06 13:54,카카오 주가가 강세다. 암호화폐 거래소 업비트를 운영하는 두나무의 미국 나스닥 상장 추진과 글로벌 웹소설 플랫폼 래디쉬 인수 소식이 전해지면서다. 6일 오후 1시24분 현재 카카오...
 (5일) 켐트로닉스,2021.04.06 00:34,▲켐트로닉스=계열사 위츠에 삼성전기 와이파이 통신 모듈 사업 인수 자금용으로 84억원 대여.
"미 웨드부시, 테슬라 목표주가 1천달러로 상향",2021.04.05 15:16,미국 웨드부시 증권사가 전기차 업체 테슬라의 목표주가를 종전 950달러에서 1천달러로 상향 조정했다고 4일(현지시간) 미 경제매체 마켓워치가 보도했다. ...
NFT 가격 70% 하락…'기술혁신 아니라 유동성 버블이었나',2021.04.04 15:02,블록체인 기술 기반 디지털 자산의 일종인 NFT(대체불가능토큰) 가격이 지난 2월 대비 약 70% 내렸다. 최근 유동성 장세에 유행까지 타 NFT에 자금...
